Brand,Product
Sick,Энкодер DGS35-1H408192
Sick,Энкодер SICK ATM60-P4H13X13
Sick,Передатчик светового завеса безопасности Sick 1018651
Sick,Приёмник светового завеса безопасности Sick 1018652
Sick,Датчик SICK VS/VE18-4P3240
Sick,Световой затвор для световода wll260-r240 SICK
Sick,Лампа Sick  1 001 019
Sick,Фотодатчик Sick WL 12-P4381
Sick,Фотодатчик Sick WL 12-2P480
Siemens,"Электродвигатель 1LG4223-4AA60-Z „Siemens“ (вес кг/шт.: 300,0)"
Siemens,Центральный процессор 6ES73152AG100AB0
Siemens,"Станция распределенного ввода-вывода ( до 8 модулей), 6ES71531AA030XB0"
Siemens,"Адаптер PC USB, 6ES79720CB200XA0"
Siemens,"Стойка UR2 (до 9 модулей), 6ES74001JA010AA0"
Siemens,Центральный процессор 6ES7214-1BD23-0XB0
Siemens,Модуль ввода-вывода 6ES7223-1PH22-0XA0
Siemens,Вспомогательный контактор SIEMENS SIRIUS 3RH1122-1AP00
Siemens,Вспомогательный контактор SIEMENS SIRIUS 3RH1911-1FB22
Festo,"Реле давления PEV-1/4-B, FESTO 10773 (поз. 17)"
Festo,"Клапан эл. магн. HEE-В-MIDI-24, FESTO 172959 (поз.20)"
Festo,"Распределитель MFH-3-1/2-S, FESTO 7960 (поз.22)"
Festo,"Датчик SME-8M-DS-24V-K-0.3-M8D, FESTO 543861 (поз.16)"
Festo,Пневматический клапан FESTO 173433(Поз. 21)
Festo,Распределитель MFH-5-1/4
Festo,Распределитель пневматический FESTO CPV18-M1H-2X3-GLS-1/4
Festo,Штуцер с зажимом Festo QS-1/2-16
Festo,Штуцер с зажимом Festo QSL-1/2-16
SKF,Подшипник SKF NU 2215 ECP
SKF,Подшипник SKF 607-2Z
SKF,Подшипник SKF 6000-2RSH
SKF,SKF NJ2307ECP
SKF,SKF 30306
SKF,SKF 31306
SKF,SKF 30209
SKF,SKF 22207
SKF,SKF 6200-2Z
Parker,Уплотнение PARKER RK 2AHL 171
Parker,Втулка(К) для Р350
Parker,Трубка нержавеющая Parker н/ж сталь R28 x 1.5 71
